新闻id,时间,标题,内容,链接
fab8afcaa1763d41,2026-05-28 21:53:51,,"Tempo主网交易量达390万笔 Tempo自3月18日主网上线以来，已处理390万笔交易，涉及177,000个地址。据NS3报道，Dune Analytics数据显示，其TIP-20稳定币标准的流通供应量现已超过2500万美元。",https://www.binance.com/zh-CN/square/post/328029107850065
40a7303c4e43e1f7,2026-05-28 21:53:25,,资金从比特币转向AI基础设施 投资者资金正从比特币和黄金转向AI基础设施、存储和半导体相关股票。据 NS3 报道，若市场关注转向新技术领军者，比特币和加密资产可能被边缘化。,https://www.binance.com/zh-CN/square/post/328029000653698
2c6fea791c9091d6,2026-05-28 21:52:36,,AI应用软件股开盘领涨 美国AI应用软件股票开盘领涨，富途控股上涨超过3%。据NS3报道，Snowflake飙升超过35%，MongoDB上涨超过9%，Datadog上涨超过5%。,https://www.binance.com/zh-CN/square/post/328028802893329
07fd9a8deaf9dcd6,2026-05-28 21:45:09,,BNB 跌破 630 USDT，24 小时跌幅3.16% 据币安行情数据显示，BNB 跌破 630 USDT，现报价 629.909973 USDT，24 小时跌幅3.16%。,https://www.binance.com/zh-CN/square/post/328026968448785
0bb3fac59c174735,2026-05-28 21:44:34,,AI趋势 | Modiqo 完成 300 万美元融资 AI 基础设施公司 Modiqo 宣布完成 300 万美元 Pre-Seed 融资，Heavybit 与 Seligman Ventures 共同领投，Irregular Expressions 及多位天使投资人参与。据Odaily星球日报报道，Modiqo 旨在解决 AI Agent 在生产环境中“不稳定、难复现、成本高”的核心问题。公司指出，当前 AI 系统在首次运行时表现良好，但在模型更新、API 变化等情况下容易失效，企业需要持续重建工作流，导致成本与效率问题。,https://www.binance.com/zh-CN/square/post/328026828293633
4c11f9d8a73675a9,2026-05-28 21:44:11,,灰度推迟IPO上市计划 据Odaily星球日报报道，市场消息称加密资产管理公司灰度推迟了IPO上市计划，或因近期加密货币上市热潮减弱。,https://www.binance.com/zh-CN/square/post/328026733782417
c25025626b9a629f,2026-05-28 21:43:57,,全球富豪抛售超10亿美元股票 随着股市屡创新高，全球超级富豪群体选择获利了结、套现离场。据Odaily星球日报报道，近几周来，他们已累计抛售了价值超过10亿美元的股票。上周，德国菲斯曼家族的一位后裔出售了价值约7.5亿美元的开利全球公司股份。与此同时，丹麦大亨亨里克·林德也抛售了价值约1.75亿美元的ISS A/S股份。本月，矿产资源有限公司创始人克里斯·埃里森通过出售其在这家澳大利亚矿业服务公司中约10%的股份，套现1.225亿澳元。这些交易展现了富有的私人投资者如何锁定投资收益。,https://www.binance.com/zh-CN/square/post/328026676679682
8a3dbf392706f536,2026-05-28 21:34:43,,美联储威廉姆斯：中东战争推高通胀 据 ChainCatcher 报道，美联储威廉姆斯表示，中东战争正在推高通胀，能源价格飙升的影响应是短期的。,https://www.binance.com/zh-CN/square/post/328024406533106
849c46187e4d652c,2026-05-28 21:34:15,,"Amber推出A-MM平台，推动AI Agent经济 Amber International Holding Limited（NASDAQ: AMBR）今日公布2026年第一季未经审计财务业绩，并推出A-MM智能体做市基础设施平台。据Odaily星球日报报道，Amber表示，A-MM专为代币项目打造，结合智能体编排工作流、流动性运营、执行基础设施及即时风险透明化能力。公司预期A-MM将自2026年第二季开始贡献收入。尽管市场疲弱，Amber Premium核心客户基础展现韧性，第一季毛利率达67.7%。执行董事兼CEO Michael Wu表示，A-MM的推出标志着Amber向智能体原生营运基础设施层的转型。公司同时提出""Crypto for AI（C4AI）""愿景，并计划于2026年10月举办首届C4AI投资者日。",https://www.binance.com/zh-CN/square/post/328024291158082
3b4a44613ce12c7b,2026-05-28 21:33:58,,美联储威廉姆斯：货币政策路径取决于数据 美联储威廉姆斯表示，货币政策正处于我们希望的状态，位置良好。据Odaily星球日报报道，货币政策的路径取决于数据、前景和风险，美联储必须明确通胀正在回归2%目标这一点。供应链中断令人担忧，这是由于战争造成的，稳定通胀预期至关重要。,https://www.binance.com/zh-CN/square/post/328024221177362
81065268c608bf55,2026-05-28 21:33:41,,加密市场交易所盈利稳定 加密市场中，尽管每天有数千亿美元的交易量，但交易所往往比公链更稳定地盈利。据 PANews 报道，这一现象引发了业内的关注和讨论。,https://www.binance.com/zh-CN/square/post/328024153777665
960ddfee7d853c22,2026-05-28 21:33:06,,"BTC 跌破 73,000 USDT，24 小时跌幅2.96% 据币安行情数据显示，BTC 跌破 73,000 USDT，现报价 72,962.007813 USDT，24 小时跌幅2.96%。",https://www.binance.com/zh-CN/square/post/328024009118225
48a06c4d69c4a295,2026-05-28 21:32:32,,4月核心PCE环比增0.24%创五个月新低 Nick Timiraos表示，4月核心PCE环比增长0.24%，为过去五个月来最温和的增幅。据NS3报道，年化率维持在2.9%。3个月和6个月年化核心PCE通胀率分别为3.8%，12个月变化为3.3%。,https://www.binance.com/zh-CN/square/post/328023868640721
e32570e07cc6e72b,2026-05-28 21:25:22,,渣打银行重申以太坊年底目标价 渣打银行重申以太坊年底目标价为4000美元。目前，ETH价格自3月底以来首次跌破2000美元。据NS3报道，Santiment表示，5月27日，以太坊的看涨与看跌讨论比例达到一个月高点，为2.4比1。,https://www.binance.com/zh-CN/square/post/328022109180753
f550a9ed02275d18,2026-05-28 21:24:58,,美联储威廉姆斯：稳定通胀预期至关重要 据金十数据报道，美联储官员威廉姆斯表示，稳定通胀预期对于经济健康发展至关重要。他强调，美联储将继续密切关注经济数据，以确保通胀保持在目标范围内。,https://www.binance.com/zh-CN/square/post/328022010639361
b883abdaf880a573,2026-05-28 21:24:05,,Paxos子公司获SEC批准成清算机构 据Odaily星球日报报道，稳定币发行商Paxos宣布，其子公司Paxos Securities Settlement Company（PSSC）已正式获得美国SEC批准，注册为清算机构。PSSC成为美国首家“区块链原生”的注册清算机构，可依据《1934年证券交易法》第17A条，提供证券清算与结算服务，并作为中央证券存管机构（CSD）为合格证券交易提供交割结算（DVP）服务。,https://www.binance.com/zh-CN/square/post/328021794425186
5b1695dff858f86d,2026-05-28 21:23:22,,美联储威廉姆斯：通胀冲击或达峰值 据金十数据报道，美联储威廉姆斯表示，通胀冲击可能在未来几个月达到峰值。他指出，经济数据将是未来政策决策的重要依据。,https://www.binance.com/zh-CN/square/post/328021614717554
31fd423d689d5992,2026-05-28 21:23:07,,热钱从加密货币转向AI和半导体 据CoinDesk报道，随着比特币和黄金的动能减弱，投资者资金正逐渐流向AI基础设施、半导体和内存相关股票。比特币在2022年11月至2025年10月期间上涨超过650%，随后进入熊市。黄金在2026年2月达到每盎司5200美元的高点后回落近20%。目前，内存芯片和半导体公司如SanDisk和美光科技成为市场热钱的新目标，美光科技市值已突破1万亿美元。SpaceX、OpenAI和Anthropic的即将IPO可能成为下一个投机资本的主要吸引点。,https://www.binance.com/zh-CN/square/post/328021556857409
efc4804fff51811a,2026-05-28 21:21:44,,VanEck 推出 VBILL 代币化美国国债基金 VanEck 的代币化美国国债基金 VBILL 现已在 DeFi 借贷平台 Euler 上线。据 NS3 报道，投资者可以将 VBILL 用作链上抵押品。此抵押品的使用使投资者能够获得流动性。,https://www.binance.com/zh-CN/square/post/328021213529922
c334061a0ea824a3,2026-05-28 21:20:09,,Stellar 上涨 10.5% Stellar 在 CoinDesk 20 指数中上涨 10.5%，交易价格为 1961.44。据 NS3 报道，该指数自周三东八区时间下午 4 点以来下跌 3.1%，其 20 种资产中仅有一种上涨。,https://www.binance.com/zh-CN/square/post/328020825137361
384d1f8b7d53efff,2026-05-28 21:13:01,,以太坊跌破2000美元，ETF流出超4.7亿美元 以太坊价格自3月以来首次跌破2000美元。据NS3报道，Santiment数据显示，市场上出现了更多的逢低买入呼声。同时，Glassnode数据显示，美国现货以太坊ETF在过去两周内流出超过4.7亿美元。,https://www.binance.com/zh-CN/square/post/328019074364514
dfc9560aebb26b70,2026-05-28 21:10:26,,AI趋势 | 英特尔推出新处理器 据金十数据报道，英特尔(INTC.O)推出全新INTEL® ARC™ G系列处理器，专为下一代掌上游戏系统设计。,https://www.binance.com/zh-CN/square/post/328018439299601
4c674d5428a5f5b5,2026-05-28 21:09:55,,Piper Sandler预测谷歌股价将达425美元 Piper Sandler预测，谷歌股价可能达到425美元。据NS3报道，此前Alphabet与Blackstone宣布了一项50亿美元的AI基础设施合资项目。两家公司计划到2027年在美国建设一个500兆瓦的数据中心。,https://www.binance.com/zh-CN/square/post/328018310074114
486a0988d2e91542,2026-05-28 21:07:26,,美联储威廉姆斯：生产力提升对政策影响尚不明朗 据金十数据报道，美联储威廉姆斯表示，目前尚不清楚生产力的提升最终将如何影响利率以及美联储的政策制定。威廉姆斯说道：“对于‘趋势生产力增长的变化将对经济和货币政策产生何种影响’这一问题，我的回答并不令人意外——那就是‘视具体情况而定’。”他补充道：“具体而言，这取决于这种变化本身的性质及其预期的持续时间。”威廉姆斯发表此番讲话之际，美联储官员们正试图研判：近年来生产力的跃升，以及因人工智能技术发展而产生的关于生产力将进一步提升的预期，究竟会对通货膨胀和劳动力市场产生何种影响。多位美联储官员已对这些动态最终将如何演变表达了不确定性。,https://www.binance.com/zh-CN/square/post/328017700713202
4c583f23d8c4c9d7,2026-05-28 21:07:04,,南非央行四成员支持加息 据金十数据报道，南非央行货币政策委员会中有四名成员支持加息25个基点，而另外两名成员则主张维持利率不变。,https://www.binance.com/zh-CN/square/post/328017612696737
871121d7e5559347,2026-05-28 21:05:47,,SEC委员呼吁开发者合作解决KYC问题 SEC委员Hester Peirce呼吁开发者与SEC的加密货币工作组合作，寻找在KYC、反洗钱和隐私保护之间取得平衡的技术解决方案。据NS3报道，Peirce表示，隐私增强技术对数字金融至关重要。,https://www.binance.com/zh-CN/square/post/328017293443073
a0511cdddf5e52c7,2026-05-28 21:05:10,,美国国债收益率回落，经济数据喜忧参半 据金十数据报道，随着一系列经济数据证实了市场对美国通胀的担忧，同时经济活动发出了喜忧参半的信号，美国国债收益率应声回落。美国4月份耐用品订单增长7.9%，轻松超越了《华尔街日报》3.5%的市场共识预期；不过，这一数据在很大程度上受到了非国防飞机设备订单激增的影响。第一季度GDP增速的第二次估算值意外下调，从2%降至1.6%。周度初请失业金人数增幅超出预期，从上修后的21万人升至21.5万人，这表明企业裁员步伐有所加快。PCE通胀率如期加速上行，从3.5%升至3.8%。目前，10年期美债收益率报4.485%，低于数据发布前的4.508%；2年期美债收益率则从4.070%回落至4.045%。,https://www.binance.com/zh-CN/square/post/328017145384946
1a71811b631e95f9,2026-05-28 21:04:25,,法国监管机构警告加密公司 据 Foresight News 报道，法国最高市场监管机构警告加密货币公司，如果它们在 6 月底之前没有获得欧盟的运营许可证，它们可能会被列入黑名单并被起诉。根据欧盟加密货币监管条例（MiCA），加密货币公司必须在 6 月 30 日前获得许可才能继续在欧盟运营。欧洲监管机构此前已警告，未获得许可的公司需要制定「有序的退出计划」。,https://www.binance.com/zh-CN/square/post/328016961038945
c3e6073c24b9f844,2026-05-28 21:03:01,,南非央行下调GDP增长预期 据金十数据报道，南非央行预计2026年GDP增长为1.2%，此前预期为1.4%；2027年GDP增长预计为1.7%，此前预期为1.9%。,https://www.binance.com/zh-CN/square/post/328016616819890
513071c03d61a772,2026-05-28 21:01:47,,俄罗斯央行储备下降 据金十数据报道，俄罗斯截至5月22日当周的央行黄金和外汇储备为7538亿美元，较之前的7689亿美元有所下降。,https://www.binance.com/zh-CN/square/post/328016310829202
1c6a00bb247e3851,2026-05-28 21:01:22,,南非央行：通胀或达5% 据金十数据报道，南非央行表示，如果海峡关闭时间延长，通胀率可能达到5%。央行预计还将进行两次加息，在最不利的情况下可能会有三次额外加息。,https://www.binance.com/zh-CN/square/post/328016210915313
4051cb86490c8ee2,2026-05-28 20:54:20,,渣打银行：以太坊长期看多 据Odaily星球日报报道，渣打银行数字资产研究主管Geoffrey Kendrick表示，以太坊当前走势类似2001年互联网泡沫破裂后的Amazon，价格下跌并不代表基本面恶化。Kendrick援引亚马逊创始人杰夫·贝索斯观点称，市场价格与公司基本面可以长期背离，但最终会回归价值轨道。虽然以太坊当前价格较2025年高点已下跌约57%，但链上交易量、总锁仓量（TVL）等核心指标仍接近历史高位，因此渣打维持长期看多ETH观点，预计价格或在2026年底达4000美元、2030年升至4万美元。,https://www.binance.com/zh-CN/square/post/328014482000274
acfa44a06433a12f,2026-05-28 20:53:46,,"Eightco Holdings资产结构公布 美股上市公司 Eightco Holdings Inc. 公布截至 2026 年 5 月 27 日的最新资产结构，总持仓规模约 3.74 亿美元。 据Odaily星球日报报道，资产包括约 9000 万美元 OpenAI 间接股权、1800 万美元 Beast Industries 股权、约 1.44 亿美元现金及稳定币，以及 11,068 枚 Ethereum 和约 2.83 亿枚 Worldcoin（WLD），还包含约 100 万美元 Mythical Games 投资。Eightco 表示，投资组合将持续聚焦 AI 与数字经济核心资产，重点布局 OpenAI、Beast Industries 等私营科技公司。",https://www.binance.com/zh-CN/square/post/328014342241730
e4f36ac25591457b,2026-05-28 20:53:34,,Polymarket上线Perps测试版 预测市场平台 Polymarket 已在其官网上线 Perps（永续合约）测试版。据 PANews 报道，当前仅向部分用户开放，未来四周将逐步向更多用户开放使用。,https://www.binance.com/zh-CN/square/post/328014294346402
b969692b6c3c4785,2026-05-28 20:46:17,,纽约联储主席威廉姆斯即将发表演讲 据金十数据报道，FOMC永久票委、纽约联储主席威廉姆斯将在十分钟后于冰岛央行参与组织的会议上发表主旨演讲。,https://www.binance.com/zh-CN/square/post/328012505066018
179af587a87b5adb,2026-05-28 20:44:05,,美国 4 月核心 PCE 年率 3.3% 据 ChainCatcher 报道，美国 4 月核心 PCE 物价指数年率为 3.3%，与市场预期持平，但高于前值 3.2%。,https://www.binance.com/zh-CN/square/post/328011964132242
27c94c214eb40955,2026-05-28 20:43:47,,SEC委员呼吁将隐私技术纳入金融监管 据 ChainCatcher 报道，美国证券交易委员会（SEC）委员 Hester M. Peirce 在乔治城大学法学院的研讨会上发表演讲，呼吁将隐私增强技术（PETs）纳入金融监管框架。她批评当前监管过度倾向于政府监控，主张技术应保护个人隐私。Peirce 邀请能够在满足 KYC 及反洗钱法规要求的前提下最小化个人信息收集的技术团队，与 SEC 加密货币工作组合作。,https://www.binance.com/zh-CN/square/post/328011887363089
c3f25f5899d81798,2026-05-28 20:43:34,,富途控股回应监管调整影响 据证券时报报道，富途控股创始人李华在公司 2026 年一季度业绩会上表示，监管部门 5 月 22 日发布的关于内地投资者跨境证券期货及基金业务的规则调整是全行业的统一要求。针对内地客户的整治期限制在境内的入金与买入，公司将积极拥抱监管，预计不会对全年 80 万的获客目标产生实质影响。李华称，富途已停止对内地身份客户开户，并加强审核，过去两年驳回了数以万计的不合规开户申请。截至今年一季度末，内地有资产客户占比约 13%，客户资产占比约 17%，对应收入贡献约 20%。未来公司预计将进入更多国际市场。,https://www.binance.com/zh-CN/square/post/328011837167169
29b8d03b488188d6,2026-05-28 20:36:58,,贵金属 | 黄金远离POC水平 据金十数据报道，黄金暂时远离POC水平，结构呈现多层成交聚集特征。白银在此区域的成交逐步增厚，但中高位密集区之间仍存在稀疏带。,https://www.binance.com/zh-CN/square/post/328010211386577
79542b172bcc6452,2026-05-28 20:36:27,,VanEck推出VBILL代币化美国国债基金 VanEck推出VBILL代币化美国国债基金，标志着代币化美国国债市场规模突破150亿美元。据NS3报道，该基金由Securitize发行并代币化。投资者现在可以在满足合规限制的同时，将代币化国债作为抵押品使用。过去一年，该市场增长约150%。,https://www.binance.com/zh-CN/square/post/328010085096593
5b2f8858e41ac9eb,2026-05-28 20:35:59,,Serenity称Sivers有望成激光阵列供应商 Serenity表示，如果Sivers Semiconductors成为机架级CPO部署的主要激光阵列供应商，SIVE可能受益。据NS3报道，商业化布局仍处于早期阶段，尚未在财务报告中体现。,https://www.binance.com/zh-CN/square/post/328009973505793
5250772346869026,2026-05-28 20:35:45,,Apple将发布iOS 27重大更新 Apple计划在6月8日的WWDC上宣布iOS 27的变化。据NS3报道，此次更新将包括AI功能和Siri的重大改进。预计Siri将拥有全新界面、聊天机器人风格的应用程序以及Dynamic Island的整合。,https://www.binance.com/zh-CN/square/post/328009915026514
d05ceaf6dd57fcaa,2026-05-28 20:34:45,,Michael Saylor 呼吁坚定持有比特币 据 ChainCatcher 报道，Strategy 创始人 Michael Saylor 发文“HODL”，呼吁在当前市场表现不佳时坚定持有比特币。,https://www.binance.com/zh-CN/square/post/328009666826017
7339b26c226d0452,2026-05-28 20:34:09,,美国初请失业金人数超预期 美国至 5 月 23 日当周初请失业金人数为 21.5 万人，预期为 21.1 万人，前值由 20.9 万人修正为 21 万人。,https://www.binance.com/zh-CN/square/post/328009520871970
e5b4c0508d70f81e,2026-05-28 20:34:02,,美国第一季度GDP年化季率修正值低于预期 据Odaily星球日报报道，美国第一季度实际GDP年化季率修正值为1.6%，低于预期的2.00%和前值的2.00%。,https://www.binance.com/zh-CN/square/post/328009494347857
bfffa3bb013fd859,2026-05-28 20:33:39,,Polymarket 推出永续合约产品测试版 预测市场平台 Polymarket 宣布，其永续合约产品 Beta 版本已向部分用户开放测试。据 Foresight News 报道，官方计划在未来四周内逐步扩大访问范围。目前尚未披露永续合约产品支持的具体交易对及功能细节。,https://www.binance.com/zh-CN/square/post/328009398578945
71414a3ef5199b08,2026-05-28 20:33:05,,美国耐用品订单超预期增长 据金十数据报道，美国4月扣除运输的耐用品订单月率为1.1%，高于预期的0.5%，前值由0.90%修正为1.1%。,https://www.binance.com/zh-CN/square/post/328009258445073
39724ec57f975514,2026-05-28 20:32:23,,美国个人消费支出低于预期 据金十数据报道，美国第一季度实际个人消费支出季率修正值为1.4%，低于预期的1.6%和前值的1.60%。,https://www.binance.com/zh-CN/square/post/328009086952529
5e1ce8cd87e4c9c4,2026-05-28 20:32:03,,加拿大经常帐赤字扩大至71.8亿加元 据金十数据报道，加拿大第一季度经常帐赤字扩大至71.8亿加元，预期为47亿加元。前值由7.1亿加元修正为10.1亿加元。,https://www.binance.com/zh-CN/square/post/328009007063122
9d7f7321172e6834,2026-05-28 20:31:57,,美国核心PCE物价指数升至3.3% 据金十数据报道，美国4月核心PCE物价指数年率进一步升至3.3%，为2023年11月以来最高水平，符合市场预期。,https://www.binance.com/zh-CN/square/post/328008980795825
740ca55dcde4fbb3,2026-05-28 20:28:57,,Theta与XYO合作构建AI加密基础设施 Theta与XYO合作构建用于AI代理工作负载的加密证明基础设施。据NS3报道，斯坦福大学的研究显示，2025年组织AI采用率将达88%。XYO节点将监控Theta EdgeCloud的正常运行时间、延迟和吞吐量，并在XYO Layer One和Data Lakes上记录证明。,https://www.binance.com/zh-CN/square/post/328008243320049
13380ee176667472,2026-05-28 20:23:44,,Garrett Jin：市场需多因素共振方能转向 据Odaily星球日报报道，“1011内幕巨鲸”Garrett Jin 发布《每周市场信号策略》。他指出，当前地缘局势与美元走势陷入僵持，美方打击伊朗相关目标后，霍尔木兹海峡紧张态势仍未缓和。美债长期收益率在 5.07%-5.18% 区间，标普 500 指数短暂刷新高点后快速回落。Garrett Jin 认为，信贷环境、美联储政策、地缘局势三大因素中至少两项共振，市场才会实质性转向。AI 领域资本开支正从美国加速向亚洲转移，字节跳动、腾讯、阿里均加大投入，AI 赛道竞争上升至国家竞争层面。,https://www.binance.com/zh-CN/square/post/328006960012306
d59c0380e49ed8cb,2026-05-28 20:23:35,,美联储审查地区联储高管续聘 美联储内部监察部门宣布，将对地区联储高管的续聘工作展开全面审查，重点核验美联储理事会审批地区联储主席及其副手五年任期续任的全流程。据Odaily星球日报报道，本次评估不仅对照美联储行政规章与行业标准检查流程合规性，同时也会复核高管绩效考核材料，以及用于判定续任资质的各类档案是否完备规范。监察长办公室并未解释此次启动审查的具体原因。,https://www.binance.com/zh-CN/square/post/328006923538785
02f456d2afb1e185,2026-05-28 20:20:35,,美国多项经济数据即将公布 据金十数据报道，美国上周初请失业金人数、第一季度实际GDP年化季率修正值、4月耐用品订单月率、个人支出月率、核心PCE物价指数月率及年率，以及加拿大第一季度经常帐将在十分钟后公布。,https://www.binance.com/zh-CN/square/post/328006188242865
e48ee1c28c7ed5a5,2026-05-28 20:18:43,,"AI趋势 | 苹果Siri大改版曝光 据金十数据报道，彭博社披露了苹果公司全新数字助理的初步外观，这是备受期待的Siri大改版。示意图展示了焕然一新的Siri界面、一款全新的聊天机器人风格应用，以及苹果计划在6月8日“全球开发者大会”（WWDC）上宣布的其他iOS27重大变革。

此次发布有望成为苹果人工智能战略的一个关键转折点，因为该公司正全力冲刺，试图追赶OpenAI、谷歌以及三星电子等竞争对手。苹果已针对iPhone硬件重新设计了Siri，使其常驻于“灵动岛”，化身为一位“始终在线”的智能助手，协助用户在整个操作系统及各类应用内部高效处理事务。",https://www.binance.com/zh-CN/square/post/328005726670146
549e60314b5b709f,2026-05-28 20:14:52,,Serenity：SIVE股价波动属正常调整 据Odaily星球日报报道，被称作“新股神”的Serenity近日点评重仓标的SIVE。Ayar Labs与纬颖（Wiwynn）今日官宣合作，此举或将影响Sivers Semiconductors（SIVE）推动CPO共封装光学技术向机架级落地的进程。纬颖服务亚马逊、Meta、微软等头部云厂商，若SIVE成为主力激光阵列供应商，将带来可观营收增量。Serenity表示，三方机架级商业化布局尚处早期，相关业绩暂未体现在财报中，但合作为CPO规模化应用打通关键链路。SIVE目前于瑞典斯德哥尔摩纳斯达克上市，正评估赴美纳斯达克双重上市的计划。该股上一交易日大跌15.49%，对此Serenity表示，光学AI板块及SIVE的回调是上涨途中的正常波动，自身仍在持续加仓。,https://www.binance.com/zh-CN/square/post/328004781515474
3857a20556c4778c,2026-05-28 20:09:00,,前HYPE鲸鱼Loracle浮亏超1950万美元 Hyperbot数据显示，前HYPE鲸鱼Loracle的总浮动亏损超过1950万美元，投资回报率为-112.56%。据NS3报道，最大亏损来自一笔5倍杠杆的HYPE空头头寸。,https://www.binance.com/zh-CN/square/post/328003338691106
2bad89ff4551d509,2026-05-28 20:03:41,,香港将设立国际商事法庭 据财新网披露，香港司法机构宣布计划在高等法院辖下设立香港国际商事法庭，专门审理大额、复杂的国际及跨境商业纠纷，判决可在内地执行。据 Foresight News 报道，香港国际商事法庭将在处理案件时广泛运用科技，包括远程聆讯、电子存档、电子文件册和以语音转换文字技术制作誊本，以提高司法效率。,https://www.binance.com/zh-CN/square/post/328002033152354
fbe28559da105a40,2026-05-28 20:03:33,,俄罗斯加密市场需立法监管 据塔斯社报道，俄罗斯联邦委员会宪法立法和国家建设委员会第一副主席阿尔乔姆·谢金表示，俄罗斯的加密货币市场需要的是立法监管，而不是禁令。限制性措施可能会将其推入「灰色地带」。据 Foresight News 报道，谢金在一次关于数字货币监管的委员会圆桌会议上指出，俄罗斯的加密货币市场已经运作起来，有 1000 万到 1500 万公民参与其中，企业也使用加密货币进行跨境支付。他强调，俄罗斯在监管加密货币市场时不会照搬西方法律，而是需要符合反洗钱金融行动特别工作组（FATF）标准，并灵活适应俄罗斯的经济实际情况。,https://www.binance.com/zh-CN/square/post/328002001408290
c6fa7e1f2ee40df8,2026-05-28 20:01:41,,VanEck代币化基金上线Euler平台 VanEck的代币化基金现已在DeFi借贷平台Euler上线，投资者可使用代币化美国国债作为链上抵押品。据CoinDesk报道，此举显示DeFi协议正在重新设计平台以适应机构和合规资产。渣打银行、BCG和Ripple预测未来十年代币化资产市场规模将达数万亿美元，推动DeFi在开放性与传统合规需求之间取得平衡。Euler平台今年早些时候转向机构应用，并整合了Securitize的DS协议以支持代币化证券与借贷市场的互动。,https://www.binance.com/zh-CN/square/post/328001542327298
e1bc66e41979cc47,2026-05-28 19:56:53,,AI板块加密货币波动剧烈 CoinGecko数据显示，今年以来AI板块资产是波动最大的加密货币，其中Venice上涨1051%，SkyAI上涨837%，Siren上涨647%。据NS3报道，AI代理、模型上下文协议、DAO和记忆层吸引了大量市场资本。,https://www.binance.com/zh-CN/square/post/328000361675585
946e511996e90f15,2026-05-28 19:48:07,,渣打银行预测以太坊2030年达4万美元 渣打银行重申其对以太坊（ETH）到2030年底达到4万美元的预测，尽管ETH价格首次跌破2000美元。据BeInCrypto报道，渣打银行全球数字资产研究主管Geoff Kendrick将以太坊的下跌与2001年互联网泡沫期间的亚马逊相提并论，认为以太坊网络的内部指标持续改善。Kendrick还预测，到2028年底，稳定币市值将增长六倍，现实资产代币化将增长五十倍，以太坊将承载50%至65%的市场份额。,https://www.binance.com/zh-CN/square/post/327998206731969
66c7078685c77a3d,2026-05-28 19:44:09,,西班牙世界杯夺冠概率反超法国 据Odaily星球日报报道，Predict.fun“2026 年世界杯冠军”预测事件中，西班牙夺冠概率已反超法国，目前以 18%暂列第一，法国为 17%，英格兰为 12%，葡萄牙为 11%。截至目前，Predict.fun“2026 年世界杯冠军”事件交易总额已突破 2.5 亿美元。2026 年世界杯将于东八区时间 6 月 12 日凌晨 3 点正式打响，由美国、墨西哥和加拿大三国联合举办，参赛队伍扩军至 48 支。,https://www.binance.com/zh-CN/square/post/327997231592066
96c7fcd4c9fa7cd9,2026-05-28 19:43:37,,Vitalik Buterin：更多人应了解 Interfold Vitalik Buterin 发文表示，更多人应该了解 Interfold。据 Foresight News 报道，这基本上就是他近十年来一直呼吁人们使用 MACI 想法构建的东西，现在它以通用形式存在。其核心理念是一个针对投票等场景优化的隐私协议，该机制生成一个阈值加密密钥，用户通过链上提交投票，并使用零知识证明（ZKP）来证明其投票资格。投票结果会在全同态加密（FHE）框架内进行任意计算，然后使用阈值进行解密。,https://www.binance.com/zh-CN/square/post/327997102038610
a01d1c98ed7a6e81,2026-05-28 19:40:14,,BlackRock IBIT 单日净流出 5.28 亿美元 BlackRock 的 IBIT 记录了 5.278 亿美元的单日净流出。据 NS3 报道，哥斯达黎加通过了一项针对加密货币服务的反洗钱法案。,https://www.binance.com/zh-CN/square/post/327996270811745
6ac226638a03f2ff,2026-05-28 19:40:03,,Genius Group批准1亿美元AI投资策略 Genius Group批准了一项AI财政策略，初始目标投资规模为1亿美元。据NS3报道，公司计划在五年内将该策略扩展至8亿美元。第一阶段将通过相关基金向未上市AI公司股权投资约2000万美元。,https://www.binance.com/zh-CN/square/post/327996227304274
ed21289f0ac6c8c1,2026-05-28 19:38:24,,欧洲央行：忽视通胀不再合适 据金十数据报道，欧洲央行会议纪要显示，采取“忽视（通胀）”而不进行任何货币政策行动的做法越来越不可能成为合适选择。,https://www.binance.com/zh-CN/square/post/327995821148817
7628b858b2f1f5b7,2026-05-28 19:34:48,,欧洲央行：能源价格冲击持久 据金十数据报道，欧洲央行会议纪要指出，现在显而易见，能源价格冲击不仅规模巨大，而且变得更加持久，增加了对更广泛通胀动态造成影响的风险。,https://www.binance.com/zh-CN/square/post/327994933862914
0e8b2a992d8d0efe,2026-05-28 19:34:18,,地缘政治 | 俄方称美日导弹系统威胁俄东部边界 据Odaily星球日报报道，俄罗斯外交部发言人扎哈罗娃表示，关于美日联合军事演习，美国在日本的导弹系统威胁到俄罗斯的东部边界。,https://www.binance.com/zh-CN/square/post/327994813841250
e4067d65b5ed11b0,2026-05-28 19:34:02,,预测市场平台吸引年轻用户 Kalshi、Polymarket 等预测市场平台通过迷因文化、幽默梗图和游戏化设计吸引年轻用户。据Odaily星球日报报道，平台利用排行榜、徽章、评论互动等功能增强用户黏性，并设置低门槛参与条件，最低使用年龄为 18 岁。目前 Polymarket 交易中仅少数头部用户盈利，约 69%用户亏损。专家警告年轻用户易受认知发育影响，可能形成高风险投资依赖。美国参议员 Katie Britt 与 Richard Blumenthal 已提出法案限制未成年人接触预测市场广告。,https://www.binance.com/zh-CN/square/post/327994746404578
fc08c0bd9fa2566d,2026-05-28 19:32:41,,币安钱包将上线预测市场功能 Binance Wallet于X（前 Twitter）平台宣布，用户可以通过币安App访问预测市场功能。用户需在符合条件的地区使用该功能。,https://www.binance.com/zh-CN/square/post/327994416116930
